MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,alphaV,betaV,gammaV,maxV,minV,addedV,y,ids
3.271990741,0.935185185,3.271990741,0.935185185,0.454314799,85.15,74.062,85.08914935,36,0,-0.002267888,-0.316455384,0.316455384,0.002267888,1.666666667,2.5,2.666666667,14.88530463,10.16142225,2.0551491,-1.900914873,2.026112762,-2.059460381,4.6459304,0.651004634,2.18410557,37.20310344,4.405777394,4.198670613,4.198670613,2.89384685,2.600953631,2.600953631,2.097970995,2.097970995,1.306712822,1.306712822,0.798985498,0.798985498,-0.04,1.86382639,4.127785235,1.605659929,0.716242568,38.74305052,5.316788604,0,0,0,0,0,0,0,0,0,6.9237372,25.42824048,0,0,0,0,0,5.316788604,5.917906046,13.34455882,13.08951281,0,0,0,5.316788604,0,0,0,13.08951281,0,5.917906046,13.34455882,0,0,0,0,12.03,0,0,0,0,0,5.917906046,19.51033443,0,0,12.2405258,0,0,0,0,3.271990741,0,0.935185185,0,1.375,4.751157407,0,1,6,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0.6158,26.6507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.285483196,CC1CCNC1
5.233796296,0.319444444,5.233796296,0.319444444,0.405638984,103.169,90.065,103.1109474,44,0,-0.002469763,-0.330099336,0.330099336,0.002469763,0.857142857,1.142857143,1.142857143,14.66828261,10.14566404,1.963461457,-2.049238369,1.811118079,-2.293738979,4.583818263,0.562712393,2.992302883,28.40637196,5.698670613,4.43072142,4.43072142,3.346065215,2.449489743,2.449489743,1.573132185,1.573132185,1,1,0.288675135,0.288675135,-0.12,1.719973094,6.88,4.050068027,2.560272109,43.85374946,17.20100243,0,0,0,0,0,0,0,0,0,0,25.55217526,0,0,0,0,0,0,23.11890848,0,19.63426922,0,0,0,17.20100243,0,0,0,19.63426922,0,5.917906046,0,0,0,0,0,78.06,0,0,0,0,25.55217526,0,0,0,0,0,17.20100243,0,0,0,0,15.70138889,0.319444444,0,0,1.8125,0,1,7,6,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,-1.5213,30.6532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.21278,38.21278,38.21278,0,76.42556,-8.943376395,C(C(CN)CN)N
8.366018519,0.097222222,8.366018519,0.097222222,0.408311607,104.153,92.057,104.094963,44,0,0.048293718,-0.395986698,0.395986698,0.048293718,1.285714286,1.714285714,1.714285714,16.2511122,10.16038505,1.974759703,-2.040717762,1.83210097,-2.254840527,4.555541456,0.234251481,2.992302883,31.16125946,5.698670613,4.300584747,4.300584747,3.346065215,2.357469218,2.357469218,1.52000411,1.52000411,0.924865556,0.924865556,0.245296243,0.245296243,-0.12,1.719973094,6.88,4.050068027,2.560272109,43.30809252,16.57386235,0,0,0,0,0,0,0,0,0,0,13.08951281,12.52478801,0,5.106527395,0,0,0,17.385241,0,19.69639478,0,0,0,11.46733495,0,0,0,24.80292217,0,5.917906046,0,0,0,0,0,72.27,0,0,0,12.52478801,13.08951281,0,0,0,0,0,16.57386235,0,0,0,8.366018519,10.30759259,0.097222222,0,0,1.0625,0,1,7,5,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,-1.4877,28.6846,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.68543,31.68543,31.68543,0,63.37086,-8.205310473,C(C(CN)CO)N
8.286018519,-0.125,8.286018519,0.020833333,0.410946478,105.137,94.049,105.0789786,44,0,0.049283978,-0.395946505,0.395946505,0.049283978,1.285714286,1.714285714,1.714285714,16.26727899,10.17571741,1.985996716,-2.032242244,1.851595572,-2.207006254,4.524258759,0.154890813,2.992302883,31.16125946,5.698670613,4.170448073,4.170448073,3.346065215,2.265448694,2.265448694,1.466876036,1.466876036,0.849731113,0.849731113,0.206806225,0.206806225,-0.12,1.719973094,6.88,4.050068027,2.560272109,42.76243557,15.94672227,0,0,0,0,0,0,0,0,0,0,6.544756406,19.13166998,0,10.21305479,0,0,0,11.65157352,0,19.75852033,0,0,0,5.733667477,0,0,0,29.97157512,0,5.917906046,0,0,0,0,0,66.48,0,0,0,19.13166998,6.544756406,0,0,0,0,0,15.94672227,0,0,0,16.57203704,5.073796296,-0.125,0,0,0.3125,0,1,7,4,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,-1.4541,26.716,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.68543,31.68543,31.68543,0,63.37086,-8.941403467,C(C(CO)CO)N
5.27949263,0.823979592,5.27949263,0.823979592,0.512739227,116.208,100.08,116.1313485,50,0,-0.00772754,-0.330473504,0.330473504,0.00772754,0.625,1,1.25,14.52018737,10.17757189,1.83076329,-1.935842612,1.948256616,-2.002628621,4.425788783,0.65293522,2.530060457,31.509775,6.242640687,5.397341225,5.397341225,3.914213562,3.316496581,3.316496581,1.991563832,1.991563832,1.15824829,1.15824829,0.642228525,0.642228525,-0.08,1.808812125,7.92,6.92,5.92,51.24374299,11.46733495,0,0,0,0,0,0,0,0,0,12.84164325,25.93115606,0,0,0,0,0,0,11.46733495,25.68328649,13.08951281,0,0,0,11.46733495,0,0,0,13.08951281,0,0,25.68328649,0,0,0,0,52.04,0,0,0,0,0,25.93115606,12.84164325,0,0,0,11.46733495,0,0,0,0,10.55898526,0,0,4.793055556,1.647959184,0,1,8,4,2,0,0,0,0,0,0,2,2,2,5,0,0,0,0,0.4642,36.5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-5.801169448,C(CCCN)CCN
5.228472222,0.805555556,5.228472222,0.805555556,0.493574934,102.181,88.069,102.1156984,44,0,-0.007726732,-0.330473497,0.330473497,0.007726732,0.714285714,1.142857143,1.428571429,14.52804325,10.2301012,1.797541676,-1.90691052,1.878417688,-2.015476378,4.405648268,0.694790635,2.447472888,25.26112493,5.535533906,4.690234444,4.690234444,3.414213562,2.816496581,2.816496581,1.638010441,1.638010441,0.90824829,0.90824829,0.46545183,0.46545183,-0.08,1.690933806,6.92,5.92,5.92,44.87880088,11.46733495,0,0,0,0,0,0,0,0,0,6.420821623,25.93115606,0,0,0,0,0,0,11.46733495,19.26246487,13.08951281,0,0,0,11.46733495,0,0,0,13.08951281,0,0,19.26246487,0,0,0,0,52.04,0,0,0,0,0,25.93115606,6.420821623,0,0,0,11.46733495,0,0,0,0,10.45694444,0,0,3.431944444,1.611111111,0,1,7,4,2,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0.0741,31.9598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-5.057198538,C(CCN)CCN
8.889166667,-0.287037037,8.889166667,0.287037037,0.44516117,118.18,104.068,118.1106131,50,0,0.056386299,-0.393030269,0.393030269,0.056386299,1.125,1.5,1.75,16.26581093,10.17561927,1.976021417,-2.041423274,1.914553989,-2.166876038,4.544983934,0.15973069,2.919612641,43.69332843,6.405777394,5.007691528,5.007691528,3.808060412,2.891192052,2.891192052,1.808524045,1.808524045,0.999780514,0.999780514,0.529111026,0.529111026,-0.12,1.675075484,7.88,5.025348837,4.050068027,49.67303463,16.57386235,0,0,0,0,0,0,0,0,0,0,25.93115606,0,6.103966388,5.106527395,0,0,0,11.46733495,18.94560963,13.08951281,0,0,0,11.46733495,0,0,0,24.30000659,0,0,12.84164325,0,0,0,0,72.27,0,0,0,6.103966388,25.93115606,0,0,0,0,0,16.57386235,0,0,0,8.889166667,10.31777778,0,0,1.040740741,1.085648148,0,1,8,5,3,0,0,0,0,0,0,3,3,3,4,0,0,0,0,-0.9551,33.3496,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.203370472,C(CN)C(CCN)O
8.809166667,-0.412037037,8.809166667,0.042824074,0.448047804,119.164,106.06,119.0946287,50,0,0.057368074,-0.39627492,0.39627492,0.057368074,1.375,2,2.375,16.27572025,10.1834103,1.981831114,-2.036996029,1.923335698,-2.138100241,4.528610163,0.127076032,2.919612641,43.69332843,6.405777394,4.877554854,4.877554854,3.808060412,2.799171527,2.799171527,1.743455708,1.743455708,0.962213292,0.962213292,0.485746417,0.485746417,-0.12,1.675075484,7.88,5.025348837,4.050068027,49.12737769,15.94672227,0,0,0,0,0,0,0,0,0,0,19.38639965,6.606881965,6.103966388,10.21305479,0,0,0,5.733667477,18.94560963,13.15163837,0,0,0,5.733667477,0,0,0,29.46865955,0,0,12.84164325,0,0,0,0,66.48,6.103966388,0,0,6.606881965,19.38639965,0,0,0,0,0,15.94672227,0,0,0,17.07164966,5.118072562,0,0,0.613518519,0.530092593,0,1,8,4,3,0,0,0,0,0,0,3,3,3,4,0,0,0,0,-0.9215,31.381,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.026062311,C(CN)C(CCO)O
7.98625,0.21875,7.98625,0.21875,0.456859378,75.111,66.039,75.06841391,32,0,0.044255012,-0.396326245,0.396326245,0.044255012,1.6,2.2,2.2,16.2499778,10.47554352,1.685535199,-1.798824429,1.615380371,-1.993326839,4.28171094,0.290828956,2.190609687,14.36452798,4.121320344,3.145884208,3.145884208,2.414213562,1.724476056,1.724476056,0.865835323,0.865835323,0.362238028,0.362238028,0.091287093,0.091287093,-0.08,1.405639062,4.92,3.92,3.92,31.60325971,10.84019487,0,0,0,0,0,0,0,0,0,0,12.96557803,6.606881965,0,5.106527395,0,0,0,5.733667477,6.420821623,13.15163837,0,0,0,5.733667477,0,0,0,18.25816577,0,0,6.420821623,0,0,0,0,46.25,0,0,0,6.606881965,6.544756406,6.420821623,0,0,0,0,10.84019487,0,0,0,7.98625,4.979027778,0,0,0.722222222,0.8125,0,1,5,3,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,-0.6725,20.7572,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.856938871,C(CN)CO
5.165972222,0.694444444,5.165972222,0.694444444,0.379101286,103.169,90.065,103.1109474,44,0,0.007498861,-0.32920809,0.32920809,0.007498861,1,1.428571429,1.714285714,14.88324371,10.56543404,1.761244218,-1.954179424,1.487600505,-2.270714123,4.447887477,0.69601694,2.447472888,26.1158779,5.535533906,4.483127663,4.483127663,3.414213562,2.523603362,2.523603362,1.327350269,1.327350269,0.642228525,0.642228525,0.329124145,0.329124145,-0.12,1.690933806,6.88,5.88,5.88,44.06372095,16.78412356,0,0,0,0,0,0,0,0,0,0,0,26.17902562,0,0,0,0,5.316788604,11.46733495,0,26.17902562,0,0,0,16.78412356,0,0,0,26.17902562,0,0,0,0,0,0,0,64.07,0,0,0,0,13.08951281,13.08951281,0,0,0,5.316788604,11.46733495,0,0,0,3.034722222,10.33194444,0,0,0,3.133333333,0,1,7,5,3,0,0,0,0,0,0,3,3,3,4,0,0,0,0,-1.5066,30.9785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-6.602386497,C(CNCCN)N
